Date,Time,Weekday,Weekday_Name,UTC_Time,Volume,Open,High,Low,Close,O-H,O-L,O-C,H-L,H-C,L-C,Direction
2018-06-27,13:00:00,2,Wednesday,2018-06-27T13:00:00.000000000Z,17152,1.15965,1.16125,1.15739,1.1582299999999999,-0.0015999999999998238,0.0022600000000001508,0.0014200000000001989,0.0038599999999999746,0.0030200000000000227,-0.0008399999999999519,DOWN
2018-06-27,17:00:00,2,Wednesday,2018-06-27T17:00:00.000000000Z,8761,1.15821,1.1588399999999999,1.15396,1.15517,-0.0006299999999999084,0.004249999999999865,0.0030399999999999316,0.004879999999999773,0.00366999999999984,-0.0012099999999999334,DOWN
2018-06-27,21:00:00,2,Wednesday,2018-06-27T21:00:00.000000000Z,9463,1.15506,1.15647,1.15506,1.15644,-0.0014100000000001334,0.0,-0.0013799999999999368,0.0014100000000001334,3.0000000000196536e-05,-0.0013799999999999368,UP
2018-06-28,01:00:00,3,Thursday,2018-06-28T01:00:00.000000000Z,6828,1.15645,1.1572,1.15592,1.15619,-0.0007500000000000284,0.0005299999999999194,0.00025999999999992696,0.0012799999999999478,0.0010099999999999554,-0.00026999999999999247,DOWN
2018-06-28,05:00:00,3,Thursday,2018-06-28T05:00:00.000000000Z,16711,1.15625,1.1569399999999999,1.15265,1.15541,-0.0006899999999998574,0.0036000000000000476,0.0008399999999999519,0.004289999999999905,0.0015299999999998093,-0.0027600000000000957,DOWN
2018-06-28,09:00:00,3,Thursday,2018-06-28T09:00:00.000000000Z,16796,1.1553799999999999,1.16002,1.15524,1.1564,-0.0046400000000001995,0.00013999999999980695,-0.001020000000000243,0.0047800000000000065,0.0036199999999999566,-0.0011600000000000499,UP
2018-06-28,13:00:00,3,Thursday,2018-06-28T13:00:00.000000000Z,21139,1.15645,1.15952,1.15498,1.1582299999999999,-0.003070000000000128,0.0014700000000000824,-0.0017799999999998928,0.0045400000000002105,0.0012900000000002354,-0.003249999999999975,UP
2018-06-28,17:00:00,3,Thursday,2018-06-28T17:00:00.000000000Z,9728,1.15826,1.1586,1.155,1.1566299999999998,-0.00034000000000000696,0.0032600000000000406,0.0016300000000002424,0.0036000000000000476,0.0019700000000002493,-0.0016299999999997983,DOWN
2018-06-28,21:00:00,3,Thursday,2018-06-28T21:00:00.000000000Z,6991,1.15636,1.1575,1.15575,1.15687,-0.0011399999999999189,0.0006099999999999994,-0.0005100000000000104,0.0017499999999999183,0.0006299999999999084,-0.0011200000000000099,UP
2018-06-29,01:00:00,4,Friday,2018-06-29T01:00:00.000000000Z,20535,1.15686,1.16657,1.15638,1.16543,-0.009710000000000107,0.00048000000000003595,-0.008569999999999967,0.010190000000000143,0.001140000000000141,-0.009050000000000002,UP
2018-06-29,05:00:00,4,Friday,2018-06-29T05:00:00.000000000Z,22723,1.1654200000000001,1.16562,1.1611799999999999,1.16478,-0.00019999999999997797,0.004240000000000244,0.000640000000000196,0.0044400000000002215,0.0008400000000001739,-0.0036000000000000476,DOWN
2018-06-29,09:00:00,4,Friday,2018-06-29T09:00:00.000000000Z,20704,1.16485,1.1664,1.1634200000000001,1.16441,-0.0015500000000001624,0.0014299999999998203,0.00043999999999999595,0.0029799999999999827,0.0019900000000001583,-0.0009899999999998244,DOWN
2018-06-29,13:00:00,4,Friday,2018-06-29T13:00:00.000000000Z,20887,1.16438,1.16825,1.16268,1.16763,-0.00387000000000004,0.0017000000000000348,-0.003249999999999975,0.005570000000000075,0.0006200000000000649,-0.00495000000000001,UP
2018-06-29,17:00:00,4,Friday,2018-06-29T17:00:00.000000000Z,7976,1.16761,1.16897,1.16631,1.1681700000000002,-0.0013600000000000279,0.0013000000000000789,-0.000560000000000116,0.0026600000000001067,0.0007999999999999119,-0.0018600000000001948,UP
2018-07-01,21:00:00,6,Sunday,2018-07-01T21:00:00.000000000Z,9247,1.16773,1.1689200000000002,1.16585,1.1663700000000001,-0.0011900000000002464,0.0018799999999998818,0.0013599999999998058,0.003070000000000128,0.0025500000000000522,-0.000520000000000076,DOWN
2018-07-02,01:00:00,0,Monday,2018-07-02T01:00:00.000000000Z,6504,1.1663700000000001,1.16685,1.16476,1.1649200000000002,-0.0004799999999998139,0.0016100000000001113,0.0014499999999999513,0.0020899999999999253,0.0019299999999997652,-0.00016000000000016001,DOWN
2018-07-02,05:00:00,0,Monday,2018-07-02T05:00:00.000000000Z,13655,1.1649399999999999,1.16545,1.16256,1.16428,-0.0005100000000002325,0.0023799999999998267,0.0006599999999998829,0.002890000000000059,0.0011700000000001154,-0.0017199999999999438,DOWN
2018-07-02,09:00:00,0,Monday,2018-07-02T09:00:00.000000000Z,10261,1.1642299999999999,1.1647399999999999,1.16156,1.16171,-0.0005100000000000104,0.00266999999999995,0.0025199999999998557,0.0031799999999999606,0.003029999999999866,-0.0001500000000000945,DOWN
2018-07-02,13:00:00,0,Monday,2018-07-02T13:00:00.000000000Z,11404,1.1617,1.16229,1.15907,1.15993,-0.0005900000000000905,0.00262999999999991,0.0017700000000000493,0.0032200000000000006,0.0023600000000001398,-0.0008599999999998609,DOWN
2018-07-02,17:00:00,0,Monday,2018-07-02T17:00:00.000000000Z,5788,1.15995,1.1647399999999999,1.15993,1.16365,-0.00478999999999985,2.0000000000131024e-05,-0.0037000000000000366,0.004809999999999981,0.0010899999999998133,-0.0037200000000001676,UP
2018-07-02,21:00:00,0,Monday,2018-07-02T21:00:00.000000000Z,2924,1.16365,1.16431,1.16326,1.1633799999999999,-0.0006599999999998829,0.0003900000000001125,0.0002700000000002145,0.0010499999999999954,0.0009300000000000974,-0.00011999999999989797,DOWN
2018-07-03,01:00:00,1,Tuesday,2018-07-03T01:00:00.000000000Z,7918,1.16343,1.16377,1.1619700000000002,1.16317,-0.00034000000000000696,0.0014599999999997948,0.00025999999999992696,0.0017999999999998018,0.0005999999999999339,-0.0011999999999998678,DOWN
2018-07-03,05:00:00,1,Tuesday,2018-07-03T05:00:00.000000000Z,16082,1.16315,1.16724,1.16258,1.16587,-0.004090000000000149,0.0005699999999999594,-0.0027200000000000557,0.0046600000000001085,0.0013700000000000934,-0.003290000000000015,UP
2018-07-03,09:00:00,1,Tuesday,2018-07-03T09:00:00.000000000Z,11222,1.1658899999999999,1.1666299999999998,1.1642700000000001,1.1652200000000001,-0.0007399999999999629,0.0016199999999997328,0.0006699999999997264,0.0023599999999996957,0.0014099999999996893,-0.0009500000000000064,DOWN
2018-07-03,13:00:00,1,Tuesday,2018-07-03T13:00:00.000000000Z,9832,1.1652200000000001,1.16641,1.16411,1.1649100000000001,-0.0011899999999998023,0.0011100000000001664,0.00031000000000003247,0.0022999999999999687,0.0014999999999998348,-0.0008000000000001339,DOWN
2018-07-03,17:00:00,1,Tuesday,2018-07-03T17:00:00.000000000Z,2738,1.16489,1.1663,1.16431,1.1656,-0.0014099999999999113,0.0005800000000000249,-0.0007099999999999884,0.0019899999999999363,0.0006999999999999229,-0.0012900000000000134,UP
2018-07-03,21:00:00,1,Tuesday,2018-07-03T21:00:00.000000000Z,5559,1.1654,1.1671200000000002,1.16537,1.167,-0.0017200000000001658,2.999999999997449e-05,-0.0016000000000000458,0.0017500000000001403,0.00012000000000012001,-0.0016300000000000203,UP
2018-07-04,01:00:00,2,Wednesday,2018-07-04T01:00:00.000000000Z,7121,1.16696,1.16777,1.16593,1.1662700000000001,-0.0008099999999999774,0.0010300000000000864,0.0006899999999998574,0.0018400000000000638,0.0014999999999998348,-0.000340000000000229,DOWN
